מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,"NAV
(במטבע הדיווח של קרן ההשקעה)","שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13913.0,MORE INVESTMENTS,ריק במקור,ריק במקור,1L-MORE ALTERNATIVE CREDIT FU,11140555.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",לא,2021-07-05,USD,דיווח מנהל הקרן,קיימת תלות,2025-09-30,3.306,4.253039927404,14.06055,2.2687934586898e-05,0.060797627618892645,0.0003814111382646832,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13913.0,MORE INVESTMENTS,ריק במקור,ריק במקור,MORE Alternativ,11140571.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",לא,2024-12-31,ILS,דיווח מנהל הקרן,קיימת תלות,2025-09-30,1.0,41.7879,41.7879,0.000250349623,0.18069031319368903,0.0011335524218249468,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13916.0,"Cerca Capital 4 GP, Limited Partnership",ריק במקור,ריק במקור,4CECRA,11022819.0,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2025-05-20,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,17.646999395039,58.34098,0.010442011834319526,0.17141904317812737,0.00021721898078071736,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13916.0,"OEP IX General Partner, L.P.",ריק במקור,ריק במקור,ONE EQUITY PARTNERS,11021308.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2024-12-26,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,85.299552329098,282.00032,9.90419043223089e-05,0.8285809568218726,0.0010499621722198727,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,Scintilla Holdings Ltd,ריק במקור,ריק במקור,SCINTILLA,11020474.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2023-08-17,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,52.944113732607,175.03324,0.002983050862,0.02186980773482509,0.0007919370143505733,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,Viola Credit GL II (UVCI),ריק במקור,ריק במקור,VIOLA CREDIT UVCI,11020490.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",לא,2023-10-19,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,4.190898366606,13.85511,1.91488725145191e-07,0.0017311488483264805,6.268737553449146e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"קוגיטו קפיטל פאנד 2 ניהול בע""מ",ריק במקור,ריק במקור,סיג'י השקעות,11021127.0,פנימי,קרן חוב,ריק במקור,ישראל,ריק במקור,ריק במקור,קנדה,לא,2024-07-28,ILS,דיווח מנהל הקרן,אי-תלות,2025-09-30,1.0,890.98891,890.98891,0.01296237327,0.11132603244710192,0.004031274843594689,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"Rakia Capital Fund, LP",ריק במקור,ריק במקור,RS TACTIC GEAR,11021133.0,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,Developed Markets - Pacific,לא,2024-08-12,ILS,דיווח מנהל הקרן,אי-תלות,2025-09-30,1.0,165.96495,165.96495,0.000691153844,0.020736755756905714,0.0007509075818389819,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,. 1L-MORE ALTERNATIVE CREDIT GP LTD,ריק במקור,ריק במקור,MORE ALTERNATIVE CREDIT 4,11021286.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",כן,2021-07-05,USD,דיווח מנהל הקרן,קיימת תלות,2025-09-30,3.306,66.036119177253,218.31541,0.000394782608,0.027277767595740736,0.000987766974902146,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,HIA Capital Partners Ltd,ריק במקור,ריק במקור,SHARK TOPCO 1,11022778.0,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",לא,2025-01-16,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,34.5,114.057,0.001,0.0142510340367975,0.0005160503230459731,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,Red Dot III General Partner L.P.,ריק במקור,ריק במקור,RED DOT 3 CAPITAL,11022812.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2025-04-24,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,27.406999395039,90.60754,0.0003125,0.011321103803628807,0.0004099533591748067,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,MORE INVESTMENTS,ריק במקור,ריק במקור,MORE ALTERNATIV SHEKEL,11140563.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",לא,2024-12-31,USD,דיווח מנהל הקרן,קיימת תלות,2025-09-30,3.306,101.86924984876,336.77974,0.0005476398,0.04207948251877405,0.0015237582403740133,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"HPS Strategic Investment Partners V Offshore GP, L.P.",ריק במקור,ריק במקור,HPS CAPRICORN,11019350.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,איי קיימן,לא,2023-12-14,EUR,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.8807,31.496384672868,122.22802,2.94535016705818e-07,0.015271975181447569,0.0005530200619538446,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"LUCID ALTERNATIVE FUND, LP",ריק במקור,ריק במקור,LUCID ALTERNATIVE FUND,11020009.0,פנימי,קרן גידור (Hedge Fund),ריק במקור,"חו""ל",ריק במקור,ריק במקור,איי קיימן,לא,2023-03-30,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,28.938327283726,95.67011,0.00096216701,0.011953654698213707,0.0004328589316862952,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,PANTHEON PGIF IV GP,ריק במקור,ריק במקור,PANTHEON GLOBAL INFRASTRUCTURE,11020456.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,לוכסמבורג,לא,2023-06-27,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,51.074189352692,168.85127,0.00013040395,0.021097391619334934,0.0007639667221671868,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,Henderson Park Real Estate Fund II GP S.? r.l,ריק במקור,ריק במקור,HENDERSON PARK REAL,11020471.0,פנימי,"קרן נדל""ן",ריק במקור,"חו""ל",ריק במקור,ריק במקור,לוכסמבורג,לא,2023-09-05,EUR,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.8807,80.71326049424,313.22395,2.61429939292665e-05,0.03913626671392512,0.0014171801869524512,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,Sheva Growth Investments L.P,ריק במקור,ריק במקור,SHEVA GROWTH 2,11020475.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2023-08-22,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,57.059310344827,188.63808,2.49297263728591e-07,0.023569686198270424,0.0008534920445283684,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,HARBOURVEST GP LLC,ריק במקור,ריק במקור,HV GONDOR FEEDER,11020502.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,איי קיימן,לא,2023-12-18,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,46.857504537205,154.91091,3.31464009973832e-07,0.019355591073597186,0.000700893633436314,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,EQT CO INVEST,ריק במקור,ריק במקור,EQT CO INVEST,11020523.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2024-04-03,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,51.75408953418,171.09902,7.57581818181818e-05,0.021378240333190388,0.0007741366557409839,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,EQT CO INVEST,ריק במקור,ריק במקור,EQT VI 10.4,11020525.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,לוכסמבורג,לא,2024-05-08,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,52.615199637023,173.94585,4.92393578019116e-07,0.021733942054496195,0.0007870171237627359,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"Qumra Capital GP IV, L.P.",ריק במקור,ריק במקור,QUMRA CAPITAL IV,11021256.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,ישראל,לא,2024-05-15,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,20.750874168179,68.60239,0.000855985087,0.008571635190261504,0.00031039116863696076,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"ECP V (CALIFORNIA CO-INVEST), LP",ריק במקור,ריק במקור,ECP CALIFORNIA,11021280.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,קנדה,לא,2024-12-26,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,134.312174833636,444.03605,0.000128440362,0.05548079348146204,0.0020090388757073906,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"Greenfield Partners GP Fund III, L.P.",ריק במקור,ריק במקור,GREENFIELD 1,11021293.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2024-10-09,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,28.661267392619,94.75415,3.22003626088889e-05,0.011839208613042738,0.0004287146752715448,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"TruAmerica Workforce Housing Fund II GP, LLC",ריק במקור,ריק במקור,TRUAMERICA FUND,11021299.0,פנימי,"קרן נדל""ן",ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2024-11-26,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,48.425021173623,160.09312,2.0477990330444e-05,0.020003090579071046,0.0007243405165262784,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"OEP IX General Partner, L.P.",ריק במקור,ריק במקור,ONE EQUITY PARTNERS,11021308.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2024-12-26,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,106.62444646098,352.50042,0.000123802392,0.044043727990438236,0.0015948863779938207,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,Director/PDMR Shareholding,ריק במקור,ריק במקור,YS 1740 PLATFORM CO INVEST LP,11022776.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-01-07,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,260.118787053841,859.95271,0.011120680578,0.10744816486709495,0.003890851712738017,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,The Access Fund L.P,ריק במקור,ריק במקור,ACCESS FUND-SPRING HILL,11022777.0,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,ישראל,לא,2025-01-09,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,20.096947973381,66.44051,0.001333332914,0.008301515640707581,0.0003006097534464277,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"TruAmericaWorbforce Housing Fund IIGP, LL'C",ריק במקור,ריק במקור,TWHF II RIVERHURST CO-INVEST-B,11022784.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-02-06,USD,דיווח מנהל הקרן,קיימת תלות,2025-09-30,3.306,38.577159709618,127.53609,0.001638737083,0.015935200465644977,0.0005770363979810121,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"QEP Co-Invest GP, LLC",ריק במקור,ריק במקור,QUANTUM - COGENTRIX,11022785.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-02-25,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,357.417268602541,1181.62149,0.000850848099,0.14763958435344937,0.005346240490566682,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,COLLER INTERNATIONAL PARTNERS,ריק במקור,ריק במקור,COLLER IX SER A,11022791.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-02-26,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,84.176530550514,278.28761,9.99351043181146e-05,0.03477108991231601,0.001259110892274843,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,COLLER INTERNATIONAL PARTNERS,ריק במקור,ריק במקור,COLLER IX SER B,11022792.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-02-26,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,60.454921355111,199.86397,9.99351059855974e-05,0.024972322954307707,0.0009042835273920117,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,Swish GP L.P.,ריק במקור,ריק במקור,SWISH VENTURES,11022794.0,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-03-05,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,16.042692075015,53.03714,0.001333333333,0.006626810168200059,0.00023996627327068485,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"Ares ACIP Management II, L.P",ריק במקור,ריק במקור,SB CO-INVESTMENT,11022833.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-08-21,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,153.549449485783,507.63448,0.0002,0.06342720089720051,0.0022967896524831843,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,Scintilla Holdings Ltd,ריק במקור,ריק במקור,SCINTILLA,11020474.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2023-08-17,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,26.472056866303,87.51662,0.001491525431,0.043669474062304536,0.0008044217051088028,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,Viola Credit GL II (UVCI),ריק במקור,ריק במקור,VIOLA CREDIT UVCI,11020490.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",לא,2023-10-19,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,1.676566848154,5.54273,7.66049689940535e-08,0.002765738713050815,5.094680664721414e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"קוגיטו קפיטל פאנד 2 ניהול בע""מ",ריק במקור,ריק במקור,סיג'י השקעות,11021127.0,פנימי,קרן חוב,ריק במקור,ישראל,ריק במקור,ריק במקור,קנדה,לא,2024-07-28,ILS,דיווח מנהל הקרן,אי-תלות,2025-09-30,1.0,71.05374,71.05374,0.001033711037,0.03545474512109506,0.0006531007560067739,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,. 1L-MORE ALTERNATIVE CREDIT GP LTD,ריק במקור,ריק במקור,MORE ALTERNATIVE CREDIT 4,11021286.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",כן,2021-07-05,USD,דיווח מנהל הקרן,קיימת תלות,2025-09-30,3.306,33.018061101028,109.15771,0.000197391304,0.054468051731723185,0.0010033389224123625,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,HIA Capital Partners Ltd,ריק במקור,ריק במקור,SHARK TOPCO 1,11022778.0,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",לא,2025-01-16,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,11.5,38.019,0.000333333454,0.01897090786155539,0.00034945715232754154,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,MORE INVESTMENTS,ריק במקור,ריק במקור,MORE ALTERNATIV SHEKEL,11140563.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",לא,2024-12-31,USD,דיווח מנהל הקרן,קיימת תלות,2025-09-30,3.306,40.747701149425,134.7119,0.00021905592,0.06721920731095148,0.0012382239658758135,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"HPS Strategic Investment Partners V Offshore GP, L.P.",ריק במקור,ריק במקור,HPS CAPRICORN,11019350.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,איי קיימן,לא,2023-12-14,EUR,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.8807,10.498794032004,40.74267,9.81783389019395e-08,0.02032997813208546,0.0003744921601415281,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,PANTHEON PGIF IV GP,ריק במקור,ריק במקור,PANTHEON GLOBAL INFRASTRUCTURE,11020456.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,לוכסמבורג,לא,2023-06-27,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,21.88893829401,72.36483,5.58874032521673e-05,0.03610895926634366,0.0006651518298868105,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,HARBOURVEST GP LLC,ריק במקור,ריק במקור,HV GONDOR FEEDER,11020502.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,איי קיימן,לא,2023-12-18,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,15.619165154265,51.63696,1.1048797155679e-07,0.025766064610084995,0.00047462860665591343,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"ECP V (CALIFORNIA CO-INVEST), LP",ריק במקור,ריק במקור,ECP CALIFORNIA,11021280.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,קנדה,לא,2024-12-26,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,38.374906231095,126.86744,3.66972450857189e-05,0.06330494002660268,0.0011661204741178158,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"TruAmerica Workforce Housing Fund II GP, LLC",ריק במקור,ריק במקור,TRUAMERICA FUND,11021299.0,פנימי,"קרן נדל""ן",ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2024-11-26,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,16.141672716273,53.36437,6.82599677681465e-06,0.026628016159287483,0.0004905063461940948,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"OEP IX General Partner, L.P.",ריק במקור,ריק במקור,ONE EQUITY PARTNERS,11021308.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2024-12-26,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,42.649761040532,141.00011,4.95209521611545e-05,0.07035692930585169,0.001296022960058658,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,Director/PDMR Shareholding,ריק במקור,ריק במקור,YS 1740 PLATFORM CO INVEST LP,11022776.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-01-07,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,69.365012099213,229.32073,0.002965514877,0.1144275872478135,0.002107834747770142,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,The Access Fund L.P,ריק במקור,ריק במקור,ACCESS FUND-SPRING HILL,11022777.0,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,ישראל,לא,2025-01-09,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,6.280296430732,20.76266,0.000416666771,0.010360254341797567,0.00019084300056142862,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"TruAmericaWorbforce Housing Fund IIGP, LL'C",ריק במקור,ריק במקור,TWHF II RIVERHURST CO-INVEST-B,11022784.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-02-06,USD,דיווח מנהל הקרן,קיימת תלות,2025-09-30,3.306,12.859050211736,42.51202,0.000546245694,0.02121285710904022,0.0003907553972721927,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"QEP Co-Invest GP, LLC",ריק במקור,ריק במקור,QUANTUM - COGENTRIX,11022785.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-02-25,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,71.483442226255,236.32426,0.000170169605,0.11792224313922672,0.0021722087094745665,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,COLLER INTERNATIONAL PARTNERS,ריק במקור,ריק במקור,COLLER IX SER A,11022791.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-02-26,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,25.25296430732,83.4863,2.99805328691132e-05,0.041658405139592625,0.0007673764343187048,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,COLLER INTERNATIONAL PARTNERS,ריק במקור,ריק במקור,COLLER IX SER B,11022792.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-02-26,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,18.136470054446,59.95917,2.99805218773693e-05,0.02991872194232716,0.0005511234068261386,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,Swish GP L.P.,ריק במקור,ריק במקור,SWISH VENTURES,11022794.0,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-03-05,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,6.016016333938,19.88895,0.000500004858,0.00992428622302223,0.00018281216838383067,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"Ares ACIP Management II, L.P",ריק במקור,ריק במקור,SB CO-INVESTMENT,11022833.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-08-21,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,81.893039927404,270.73839,0.0001,0.13509437521438886,0.002488531176389262,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13921.0,"קוגיטו קפיטל פאנד 2 ניהול בע""מ",ריק במקור,ריק במקור,סיג'י השקעות,11021127.0,פנימי,קרן חוב,ריק במקור,ישראל,ריק במקור,ריק במקור,קנדה,לא,2024-07-28,ILS,דיווח מנהל הקרן,אי-תלות,2025-09-30,1.0,30.83677,30.83677,0.000448622535,0.0590388679371066,0.0007854804972770279,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13921.0,. 1L-MORE ALTERNATIVE CREDIT GP LTD,ריק במקור,ריק במקור,MORE ALTERNATIVE CREDIT 4,11021286.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",כן,2021-07-05,USD,דיווח מנהל הקרן,קיימת תלות,2025-09-30,3.306,11.006019358741,36.3859,6.5797101386339e-05,0.06966301415072873,0.0009268290688639637,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13921.0,HIA Capital Partners Ltd,ריק במקור,ריק במקור,SHARK TOPCO 1,11022778.0,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",לא,2025-01-16,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,5.75,19.0095,0.000166666545,0.0363948416144242,0.00048421386263826144,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13921.0,MORE INVESTMENTS,ריק במקור,ריק במקור,MORE ALTERNATIV SHEKEL,11140563.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",לא,2024-12-31,USD,דיווח מנהל הקרן,קיימת תלות,2025-09-30,3.306,10.186923774954,33.67797,5.47639800373401e-05,0.06447851779611931,0.0008578521233864905,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13921.0,"ECP V (CALIFORNIA CO-INVEST), LP",ריק במקור,ריק במקור,ECP CALIFORNIA,11021280.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,קנדה,לא,2024-12-26,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,19.187459165154,63.43374,1.83486273357561e-05,0.12144774561722115,0.0016157971680996971,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13921.0,Director/PDMR Shareholding,ריק במקור,ריק במקור,YS 1740 PLATFORM CO INVEST LP,11022776.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-01-07,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,43.353130671506,143.32545,0.001853446691,0.27440527378763646,0.0036508151060715434,,,,,,,,,,,,,,,,,,,,,,,,,,
