"שם גיליון
(רלוונטי לגיליונות עם עמודה ""מאפיין עיקרי"")",שם עמודה,אפשרות בחירה,הערות והסברים,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
ריק במקור,ריק במקור,אמריקה הצפונית,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,אמריקה הדרומית,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,אסיה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,אירופה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,אפריקה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,אוקיאניה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,מדדים,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,ריביות,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"מט""ח/₪",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"מט""ח/מט""ח",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,Mega cap,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,Large cap,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,Mid cap,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,Small cap,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,אחר,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
האם קיים קנס בגין יציאה מוקדמת,ריק במקור,כן,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,לא,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מזומנים ושווי מזומנים,מאפיין עיקרי,"מזומן ועו""ש בש""ח",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,בטחונות שוטפים,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"מזומן ועו""ש נקוב במט""ח",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"פח""ק/פר""י",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"פק""מ לתקופה של עד שלושה חודשים",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"פקדון במט""ח עד שלושה חודשים",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,פקדון צמוד למדד המחירים לצרכן עד שלושה חודשים,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"פקדון צמוד מט""ח עד שלושה חודשים (פצ""מ)",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,קופה קטנה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,מאפיין עיקרי,צמוד למדד המחירים לצרכן בריבית קבועה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,צמוד למדד המחירים לצרכן בריבית משתנה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,לא צמוד למדד המחירים לצרכן ריבית קבועה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,לא צמוד למדד המחירים לצרכן ריבית משתנה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"צמוד מט""ח בריבית קבועה",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"צמוד מט""ח בריבית משתנה",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"מק""מ קצר משנים עשר חודשים",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"נקוב במט""ח",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,מאפיין עיקרי,צמוד למדד המחירים לצרכן בריבית קבועה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,לא צמוד למדד המחירים לצרכן ריבית קבועה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"צמוד מט""ח בריבית קבועה",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,אחר,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,מאפיין עיקרי,לא צמוד למדד המחירים לצרכן,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,צמוד למדד המחירים לצרכן,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"צמוד למט""ח",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,צמוד למדד אחר,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"אג""ח להמרה לא צמוד למדד המחירים לצרכן",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"אג""ח להמרה צמוד למדד המחירים לצרכן",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"אג""ח להמרה צמוד למט""ח",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"אג""ח להמרה צמוד למדד אחר",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"אג""ח שנרכש ביון 04/11/2008 ועד 31/03/2015 ונמדד בעלות מופחתת","אג""ח שנרכש ביון 04/11/2008 ועד 31/03/2015 ונמדד בעלות מופחתת",נוסף במסגרת עדכון הרשימה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,אחר,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מניות בכורה ויחידות השתתפות",מאפיין עיקרי,מניות,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,מניות בכורה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,יחידות השתתפות,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,חברה בפירוק,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור, In liquidation/administration,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,SPAC,Special Puropse Acquistion Company/Blank Check Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,TASE UP,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות סל,מאפיין עיקרי,עוקב אחר מדדי מניות בישראל,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"עוקב אחר מדדי מניות בחו""ל",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,עוקב אחר מדדים אחרים בישראל,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"עוקב אחר מדדים אחרים בחו""ל",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,מכירה בחסר (שורט),ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,אחר,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות נאמנות,מאפיין עיקרי,"אג""ח קונצרני",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"אג""ח ממשלתי",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,מניות,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,אחר,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אופציות,מאפיין עיקרי,מניה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,מדד,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"מט""ח",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,קרן סל,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,סחורה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מוצרים מובנים,מאפיין עיקרי,קרן מובטחת,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,קרן לא מובטחת,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,מוצר מאוגח - שכבת חוב (Tranche) בדרוג BBB- ומעלה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,מוצר מאוגח - שכבת חוב (Tranche) בדרוג BB+ ומטה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,מוצר מאוגח - שכבת הון (Equity Tranche),ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב ממשלתיות,מאפיין עיקרי,צמוד למדד המחירים לצרכן בריבית קבועה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,צמוד למדד המחירים לצרכן בריבית משתנה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,לא צמוד למדד המחירים לצרכן ריבית קבועה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,לא צמוד למדד המחירים לצרכן ריבית משתנה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"צמוד מט""ח בריבית קבועה",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"צמוד מט""ח בריבית משתנה",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"מק""מ קצר משנים עשר חודשים",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"נקוב במט""ח",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב מיועדות,מאפיין עיקרי,חץ,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,מירון בקרן פנסיה ותיקה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,ערד בקרן פנסיה ותיקה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,ערד בקרן פנסיה מקיפה חדשה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"פיקדון חשכ""ל",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,אחר,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אפיק השקעה מובטח תשואה,מאפיין עיקרי,החזקה באפיק השקעה מובטח תשואה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,התאמה לשווי ההוגן,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,נכס או התחייבות בגין השלמת המדינה לתשואת היעד ,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר ניירות ערך מסחריים,מאפיין עיקרי,"נש""ר",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,צמוד למדד המחירים לצרכן,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,לא צמוד למדד המחירים לצרכן,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"צמוד למט""ח",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,אחר,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,מאפיין עיקרי,לא צמוד למדד המחירים לצרכן,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,צמוד למדד המחירים לצרכן,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"צמוד למט""ח",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,צמוד למדד אחר,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"אג""ח להמרה לא צמוד למדד",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"אג""ח להמרה לא צמוד למדד",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"אג""ח להמרה צמוד למדד המחירים לצרכן",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"אג""ח להמרה צמוד למט""ח",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"אג""ח להמרה צמוד למדד אחר",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"נש""ר",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"אג""ח לא סחיר שנרכש בין 04/11/2008 ועד 31/03/2015 ונמדד לפי עלות מופחתת","אג""ח לא סחיר שנרכש בין 04/11/2008 ועד 31/03/2015 ונמדד לפי עלות מופחתת",נוסף במסגרת עדכון הרשימה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,אחר,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מניות בכורה ויחידות השתתפות",מאפיין עיקרי,יחידות השתתפות אינשורטק,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,יחידות השתתפות פינטק,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,יחידות השתתפות תשתיות,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,יחידות השתתפות אחרות,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,מניות בכורה לא סחירות,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,מניות לא סחירות,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"נש""ר",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,PIPE,Private Equity in Public Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,SPAC,Special Puropse Acquistion Company/Blank Check Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,אחר,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,מאפיין עיקרי,משאבים טבעיים,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,פרייבט אקוויטי,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,קרן אנרגיה ותשתיות,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,קרן גידור (Hedge Fund),ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,קרן חוב,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"קרן נדל""ן",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,קרן השקעה אחרת,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,סעיף מאזני,ריק במקור,נוסף במסגרת עדכון הרשימה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,מאפיין עיקרי,מניה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,מדד,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,"מט""ח",ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,קרן סל,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,סחורה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,ריבית,ריק במקור,נוסף במסגרת עדכון הרשימה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הלוואות,מאפיין עיקרי,חברה מוחזקת,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,יחיד שאינו עמית/מבוטח,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,נושא משרה/עובד,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,סוכן,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,עמית/מבוטח,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,תאגיד,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,אחר,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר נגזרים אחרים,מאפיין עיקרי,Unfunded Swap,ריק במקור,נוסף במסגרת עדכון הרשימה - שם גיליון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,Funded Swap,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,Unfunded Forward,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,Funded Forward,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,Unfunded Interest Rate Swap,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,Funded Interest Rate Swap,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,Unfunded Total Return/Equity Swap,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,Funded Total Return/Equity Swap,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,Repo,עסקאות REPO,נוסף במסגרת עדכון הרשימה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר מוצרים מובנים,מאפיין עיקרי,קרן מובטחת,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,קרן לא מובטחת,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,שכבת חוב (Tranche) בדרוג AA- ומעלה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,שכבת חוב (Tranche) בדרוג BBB- ומעלה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,שכבת חוב (Tranche) בדרוג BB+ ומטה,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ריק במקור,ריק במקור,שכבת הון (Equity Tranch),ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
