שם גיליון,שם סעיף,מספר סעיף,מידע שניתן לדווח רק לרשות,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
לא סחיר איגרות חוב,סטאטוס סחירות,5.29,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,ענף מסחר,5.31,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,בעל עניין/צד קשור,5.36,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,תאריך רכישה,5.37,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,דירוג,5.49,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,שם מדרג,5.51,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,דירוג נייר הערך/המנפיק ,5.52,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,מטבע פעילות,5.53,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,"מח""מ",5.69,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,מועד פדיון,5.75,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,תשואה לפדיון,5.74,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,שיעור ריבית,5.7,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,נחיתות חוזית,5.76,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,האם סווג כחוב בעייתי,5.89,ü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,סוג גורם משערך,5.109,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,תלות/אי-תלות המשערך,5.111,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,תאריך שערוך אחרון,5.112,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,תאריך אחרון בו נבחנה בפועל ירידת ערך ,5.113,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,ערך נקוב (יחידות),5.58,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,שער חליפין,5.54,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,שער נייר הערך,5.55,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,"שווי הוגן (באלפי ש""ח)",5.63,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,"עלות מופחתת (באלפי ש""ח)",5.65,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,עלות מופחתת (במטבע הפעילות),5.66,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,השיטה שיושמה בדוח הכספי,5.68,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,שיעור מנכסי אפיק ההשקעה,5.47,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,שיעור מסך נכסי ההשקעה,5.48,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,ריק במקור,ריק במקור,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",מספר קופה/קרן/ח.פ. עבור חברת ביטוח,5.1,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",מספר מסלול,5.2,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",שם מנפיק,5.3,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",מספר מנפיק,5.6,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",סוג מספר מזהה מנפיק ,5.1,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",שם נייר ערך ,5.14,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",מספר נייר ערך,5.19,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",סוג מספר נייר ערך,5.24,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",מאפיין עיקרי,5.26,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש","ישראל/חו""ל",5.27,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",מדינה לפי חשיפה כלכלית,5.28,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",סטאטוס סחירות,5.29,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",ענף מסחר,5.31,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",בעל עניין/צד קשור,5.36,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",תאריך רכישה,5.37,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",מטבע פעילות,5.53,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",סוג גורם משערך,5.109,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",תלות/אי-תלות המשערך,5.111,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",תאריך שערוך אחרון,5.112,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",תאריך אחרון בו נבחנה בפועל ירידת ערך ,5.113,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",ערך נקוב (יחידות),5.58,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",שער חליפין,5.54,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",שער נייר הערך,5.55,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש","שווי הוגן (באלפי ש""ח)",5.63,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",שיעור מנכסי אפיק ההשקעה,5.47,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",שיעור מסך נכסי ההשקעה,5.48,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מב""כ ויה""ש",ריק במקור,ריק במקור,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,5.1,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,מספר מסלול,5.2,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,שם שותף כללי קרן השקעות,5.5,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,מספר מזהה שותף כללי קרן השקעות,5.8,ü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,סוג מספר מזהה שותף כללי קרן השקעות,5.12,ü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,שם קרן השקעה,5.15,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,מספר מזהה קרן השקעה,5.2,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,סוג מספר מזהה קרן השקעות,5.25,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,מאפיין עיקרי,5.26,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,אסטרטגיית קרן ההשקעה,5.114,ü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,"ישראל/חו""ל",5.27,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,מדינת התאגדות קרן השקעה,5.115,ü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,מיקום משרד השותף הכללי,5.116,ü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,מדינה לפי חשיפה כלכלית,5.28,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,בעל עניין/צד קשור,5.36,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,תאריך רכישה,5.37,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,מטבע פעילות,5.53,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,סוג גורם משערך,5.109,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,תלות/אי-תלות המשערך,5.111,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,תאריך שערוך אחרון,5.112,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,שער חליפין,5.54,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,NAV (במטבע הדיווח של קרן ההשקעה),5.61,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,"שווי הוגן (באלפי ש""ח)",5.63,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,שיעור החזקה בקרן השקעה,5.46,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,שיעור מנכסי אפיק ההשקעה,5.47,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,שיעור מסך נכסי ההשקעה,5.48,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,ריק במקור,ריק במקור,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,5.1,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,מספר מסלול,5.2,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,שם מנפיק,5.3,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,מספר מנפיק,5.6,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,סוג מספר מזהה מנפיק ,5.1,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,שם נייר ערך ,5.14,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,מספר נייר ערך,5.19,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,סוג מספר נייר ערך,5.24,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,"ישראל/חו""ל",5.27,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,מדינה לפי חשיפה כלכלית,5.28,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,סטאטוס סחירות,5.29,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,נכס בסיס (כתב אופציה),5.34,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,ענף מסחר,5.31,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,תאריך פקיעה,5.101,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,בעל עניין/צד קשור,5.36,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,תאריך רכישה,5.37,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,מטבע פעילות,5.53,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,סוג גורם משערך,5.109,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,תלות/אי-תלות המשערך,5.111,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,תאריך שערוך אחרון,5.112,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,שער מימוש,5.102,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,יחס המרה,5.1,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,ערך נקוב (יחידות),5.58,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,שער נייר הערך,5.55,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,שער חליפין,5.54,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,"שווי הוגן (באלפי ש""ח)",5.63,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,שיעור מנכסי אפיק ההשקעה,5.47,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,שיעור מסך נכסי ההשקעה,5.48,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,ריק במקור,ריק במקור,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,5.1,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,מספר מסלול,5.2,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,שם מנפיק,5.3,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,מספר מנפיק,5.6,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,סוג מספר מזהה מנפיק ,5.1,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,שם נייר ערך ,5.14,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,מספר נייר ערך,5.19,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,סוג מספר נייר ערך,5.24,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,מאפיין עיקרי,5.26,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,"ישראל/חו""ל",5.27,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,מדינה לפי חשיפה כלכלית,5.28,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,ענף מסחר,5.31,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,נכס בסיס,5.33,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,תאריך פקיעה,5.101,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,בעל עניין/צד קשור,5.36,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,תאריך רכישה,5.37,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,מטבע פעילות,5.53,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,סוג גורם משערך,5.109,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,תלות/אי-תלות המשערך,5.111,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,תאריך שערוך אחרון,5.112,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,שער מימוש,5.102,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,יחס המרה,5.1,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,ערך נקוב (יחידות),5.58,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,שער נייר הערך,5.55,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,שער חליפין,5.54,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,"שווי הוגן (באלפי ש""ח)",5.63,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,שיעור מנכסי אפיק ההשקעה,5.47,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,שיעור מסך נכסי ההשקעה,5.48,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,ריק במקור,ריק במקור,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר נגזרים אחרים,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,5.1,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר נגזרים אחרים,מספר מסלול,5.2,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר נגזרים אחרים,מאפיין עיקרי,5.26,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר נגזרים אחרים,מספר עסקה (רגל 1),5.21,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר נגזרים אחרים,מטבע פעילות (רגל 1),5.53,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר נגזרים אחרים,שער חליפין,5.54,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר נגזרים אחרים,ערך נקוב (רגל 1),5.58,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר נגזרים אחרים,שווי הוגן במטבע הנסחר (רגל 1),5.118,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר נגזרים אחרים,שיעור מנכסי אפיק ההשקעה (רגל 1),5.47,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר נגזרים אחרים,שיעור מסך נכסי ההשקעה (רגל 1),5.48,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר נגזרים אחרים,מספר עסקה (רגל 2),5.21,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר נגזרים אחרים,מטבע פעילות (רגל 2),5.53,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר נגזרים אחרים,שער חליפין,5.54,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר נגזרים אחרים,ערך נקוב (רגל 2),5.58,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר נגזרים אחרים,שווי הוגן במטבע הנסחר (רגל 2),5.118,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
