"שם גיליון
(רלוונטי לגיליונות עם עמודה ""מאפיין עיקרי"")",שם עמודה,אפשרות בחירה,הערות והסברים,Unnamed: 4
,,ממונפות ואסטרטגיות-ממונפות בסיכון גבוה,,נוסף במסגרת עדכון הרשימה
,,מניות בארץ - מניות בארץ משולבת,,נוסף במסגרת עדכון הרשימה
,,מניות בארץ - מניות כללי-מדד אחר,,נוסף במסגרת עדכון הרשימה
,,"מניות בארץ - מניות כללי-ת""א צמיחה",,נוסף במסגרת עדכון הרשימה
,,מניות בארץ - מניות כללי-תל- דיב,,נוסף במסגרת עדכון הרשימה
,,מניות בארץ - מניות לפי ענפים,,נוסף במסגרת עדכון הרשימה
,,מניות בארץ - מניות לפי ענפים-מדד אחר,,נוסף במסגרת עדכון הרשימה
,,"מניות בארץ - מניות לפי ענפים-ת""א בנקים",,נוסף במסגרת עדכון הרשימה
,,"מניות בארץ - מניות לפי ענפים-ת""א גלובל- בלוטק",,נוסף במסגרת עדכון הרשימה
,,"מניות בארץ - מניות לפי ענפים-ת""א נדל""ן",,נוסף במסגרת עדכון הרשימה
,,"מניות בארץ - מניות לפי ענפים-ת""א נפט וגז",,נוסף במסגרת עדכון הרשימה
,,"מניות בארץ - מניות לפי ענפים-ת""א פיננסים",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות בחו""ל משולבת",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות גיאוגרפי-ארה""ב חשופת מט""ח",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות גיאוגרפי-מניות גיאוגרפי אחר חשופת מט""ח",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות גיאוגרפי-מניות גיאוגרפי מוגנת מט""ח",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אירופה - מדד אחר",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה - מדד אחר",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב - מדד אחר",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-חו""ל גיאוגרפי אחר - מדד אחר",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אירופה - מדד אחר",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אסיה - מדד אחר",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב - מדד אחר",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-חו""ל גיאוגרפי אחר",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-שווקים מתעוררים",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות כללי בחו""ל - מניות חו""ל נקובת מט""ח",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל מוגנת מט""ח",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות כללי בחו""ל - חשופת מט""ח-מניות כללי בחו""ל - מדד אחר",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות כללי בחו""ל - מנוטרלת מט""ח-מניות כללי בחו""ל",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות לפי ענפים בחו""ל",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות לפי ענפים בחו""ל - חשופת מט""ח-ענפים אחרים",,נוסף במסגרת עדכון הרשימה
,,"מניות בחו""ל - מניות לפי ענפים בחו""ל - מנוטרלת מט""ח-ענפים אחרים",,נוסף במסגרת עדכון הרשימה
,,סחורות-מדד סחורות,,נוסף במסגרת עדכון הרשימה
,,סחורות-סחורה,,נוסף במסגרת עדכון הרשימה
,,קרן גידור בנאמנות,,נוסף במסגרת עדכון הרשימה
,,"קרן כספית-כספית מט""חית עם קונצרני-חשופת דולר",,נוסף במסגרת עדכון הרשימה
,,"קרן כספית-כספית מט""חית עם קונצרני-נקובת מט""ח",,נוסף במסגרת עדכון הרשימה
,,קרן כספית-כספית שקלית-כספית שקלית ללא קונצרני,,נוסף במסגרת עדכון הרשימה
,,קרן כספית-כספית שקלית-כספית שקלית עם קונצרני,,נוסף במסגרת עדכון הרשימה
,,קרן סגורה-קרן טכנולוגיה עילית,,נוסף במסגרת עדכון הרשימה
,,אחר,,
,,Asset Allocation Funds,,
,,Bond/Fixed Income Funds,,
,,Commodity Funds,,
,,Currency Funds,,
,,Equity Funds,,
,,Index Funds,,
,,Real Estate Funds,,
,,Sustainable Funds,,
,,Other,,
,נכס בסיס/סוג הנכס,אנרגיה,,
,,"אשראי בגין נדל""ן יזמי",,
,,אשראי קמעונאי,,
,,בעלי חיים,,
,,גרעינים וחיטה,,
,,מדד המחירים לצרכן,,
,,מדדי סחורות,,
,,"מט""ח",,
,,מניות לרבות מדדי מניות,,
,,משכנתאות או תיקי משכנתאות,,
,,מתכות,,
,,סחורות חקלאיות רכות,,
,,"ריבית ואג""ח",,
,,תשתיות,,
,,אחר,,
,קונסורציום/סינדיקציה,כן,,
,,לא,,
,סוג הצמדה,לא צמוד,,
,,צמוד למדד המחירים לצרכן,,
,,"צמוד למט""ח",,
,,צמוד למדד אחר,,
,סוג בטוחה,"אג""ח סחיר",,
,,"אג""ח לא סחיר",,
,,בטוחה פיזית אחרת,,
,,בטוחה פיננסית אחרת,,
,,חסכון עמיתים/מבוטחים,,
,,כלי רכב,,
,,ללא בטחונות,,
,,מניות סחירות,,
,,מניות לא סחירות,,
,,משכנתאות או תיקי משכנתאות,,
,,נגזרי אשראי,,
,,"נדל""ן אחר - נדל""ן מניב","נדל""ן שלא בגינו ניתנה ההלוואה",
,,"נדל""ן אחר - נדל""ן לא מניב","נדל""ן שלא בגינו ניתנה ההלוואה",
,,"נדל""ן אחר - קרקע","נדל""ן שלא בגינו ניתנה ההלוואה",
,,"נדל""ן עבורו התקבלה ההלוואה",,
,,ערבות בנקאית,,
,,קרנות השקעה,,
,,שעבוד שוטף,,
,,שעבוד שלילי,,
,,תזרים עמלות,,
,,תזרים מזומנים,,
,,תזרים מפרויקטים,,
,,תשתיות,,
,,אחר,,
,זכות חזרה,כן,,
,,לא,,
,מבנה לוח סילוקין,בולט (Bullet),,
,,בלון,,
,,קרן שווה,,
,,שפיצר,,
,,אחר ,,
,זכות פירעון מוקדם,כן,,
,,לא,,
,מאפיין הלווואת מתואמות זכויות מקרקעין,"נדל""ן מניב - משרדים",,
,,"נדל""ן מניב
 - מסחר",,
,,"נדל""ן מניב
 - מגורים (כולל דיור מוגן)",,
,,"נדל""ן מניב
 - מלונאות",,
,,"נדל""ן מניב
 - לוגיסטיקה",,
,,"נדל""ן מניב
 - תעשייה",,
,,"נדל""ן מניב
 - אחר/לא מסווג",,
,,"ייזום נדל""ן לבניה של נכס ספציפי - משרדים",,
,,"ייזום נדל""ן לבניה של נכס ספציפי - מסחר",,
,,"ייזום נדל""ן לבניה של נכס ספציפי - מגורים (כולל דיור מוגן)",,
,,"ייזום נדל""ן לבניה של נכס ספציפי -   מזה: בליווי פיננסי סגור",,
,,"ייזום נדל""ן לבניה של נכס ספציפי - מלונאות",,
,,"ייזום נדל""ן לבניה של נכס ספציפי - לוגיסטיקה",,
,,"ייזום נדל""ן לבניה של נכס ספציפי - תעשייה",,
,,"ייזום נדל""ן לבניה של נכס ספציפי - אחר/לא מסווג",,
,,קבוצות רכישה - משרדים,,
,,קבוצות רכישה - מסחר,,
,,קבוצות רכישה - מגורים (כולל דיור מוגן),,
,,קבוצות רכישה - אחר/לא מסווג,,
,,קרקעות - משרדים,,
,,קרקעות - מסחר,,
,,קרקעות - מגורים (כולל דיור מוגן),,
,,קרקעות - מלונאות,,
,,קרקעות - לוגיסטיקה,,
,,קרקעות - תעשייה,,
,,קרקעות - אחר/לא מסווג,,
,,קרקעות - שאינן זמינות לבניה,,
,,תשתיות - שלב הקמה,,נוסף במסגרת עדכון הרשימה
,,תשתיות - שלב תפעול,,נוסף במסגרת עדכון הרשימה
,,פעילות שוטפת של התאגיד - משרדים,,
,,פעילות שוטפת של התאגיד - מסחר,,
,,פעילות שוטפת של התאגיד - מגורים (כולל דיור מוגן),,
,,פעילות שוטפת של התאגיד - מלונאות,,
,,פעילות שוטפת של התאגיד - אחר/לא מסווג,,
,,אשראי לקבלנים - הון חוזר,,
,,"אשראי לקבלנים - ערבויות מכרז, ביצוע וכד'",,
,,אשראי לקבלנים - למטרות ארוכות טווח,,
,,"אשראי אחר בענף הנדל""ן
 (לרבות אשראי לכל מטרה) - אשראי לפעילות הונית ",,
,,"אשראי אחר בענף הנדל""ן
 (לרבות אשראי לכל מטרה) - אחר/לא מסווג",,
,סוג הריבית,משתנה,,
,,קבועה ,,
,,אחר,,
,האם סווג כחוב בעייתי,כן,,
,,לא,,
,אסטרטגיית קרן ההשקעה,FOF/Managed Account,,
,,Co-Investment/Direct,,
,,Core,,
,,Core-Plus,,
,,Debt Infrastructure,,
,,Opportunistic Infrastructure,,
,,Value Added Infrastructure,,
,,Value Added Real Estate,,
,,Direct Real Estate,,
,,Opportunistic Real Estate,,
,,Distressed Real Estate,,
,,Direct Lending Debt,,
,,Mezzanine Debt,,
,,Special Situations Debt,,
,,Distressed Debt,,
,,Venture Debt,,
,,Balanced,,
,,Buyout,,
,,Leveraged Buyout,,
,,Growth Venture Capital,,
,,Seed/Early Stage Venture Capital,,
,,Secondaries,,
,,Turnaround,,
,,Other,,
,,סעיף מאזני,,נוסף במסגרת עדכון הרשימה
,שימוש עיקרי בנכס,זכויות אוויר (Air Rights),,
,,חממת שרתים,,
,,חניון,,
,,לוגיסטיקה ותעשייה,,
,,מגדלי תקשורת,,נוסף במסגרת עדכון הרשימה
,,מגורים (כולל דיור מוגן),,
,,מלונאות,,
,,מסחר,,
,,משרדים,,
,,קניון,,
,,קרקע/זכויות מקרקעין,,
,,אחר,,
,מחזור חיי הנכס,בתכנון/בהיתרים,בתכנון / בהיתרים,
,,שלבים התחלתיים,בבנייה שלבים התחלתיים (עד 30% ביצוע) – לפי אומדן עלות השקעה כוללת צפויה,
,,שלבים מתקדמים,בבנייה שלבים מתקדמים (עד 70% ביצוע) - לפי אומדן עלות השקעה כוללת צפויה,
,,בשלבי גמר,בבנייה בשלבי גמר (מעל 70% ביצוע) - לפי אומדן עלות השקעה כוללת צפויה,
,,בשימוש,בשימוש ,
,,בשיפוץ,בשיפוץ – שיפוץ מהותי שאומדן עלותו מהווה מעל ל-50% משווי הנכס.,
,,בהסבה/שינויי ייעוד,בהסבה/שינוי ייעוד – אם מעל ל-50% משווי הנכס מוסב לשימוש אחר.,
,,בהרחבה,בהרחבה,
,,אחר,,
,השיטה שבאמצעותה נקבע שווי הנכס ,שיטת החילוץ,Residual,
,,שיטה השוואתית ,Comparison,
,,היוון תזרים ,Discounted Cash Flows,
,,שיטת ההכנסה,Direct Capitalization,
,,משולב,,
,,אחר,,
,סוג גורם משערך,גורם תלוי/פנימי,,
,,דיווח מנהל הקרן,,
,,חברת ציטוט,,
,,מומחה בלתי תלוי,,
,,אחר,,
,תלות/אי-תלות המשערך,קיימת תלות,,
,,אי-תלות,,
,השיטה שיושמה בדוח הכספי,שווי הוגן,,
,,עלות מופחתת,,
,תדירות Reset,יומי,,
,,שבועי,,
,,חודשי,,
,,רבעוני,,
,,חצי-שנתי,,
,,שנתי,,
,,אחר,,
,,ללא,,
,סוג הסליקה,Delivery,,
,,No-delivery,,
,ריבית עוגן,ריבית בנק ישראל,,
,,ריבית פריים,,
,,Libor,,
,,€STR,,
,,Eonia,,
,,Euribor,,
,,SOFR,,
,,Sonia,,
,,Telbor,,
,,Tona,,
,,Other,,
,,ללא,,
,תקופת ריבית עוגן,יומי,,
,,שבועי,,
,,חודשי,,
,,רבעוני,,
,,חצי-שנתי,,
,,שנתי,,
,,אחר,,
,,ללא,,
,נספח התחשבנות בטחונות (CSA),קיים חוזה,,
,,לא קיים חוזה,,
,גורם מצטט,הצד הנגדי,,
,,גורם אחר,,
,פקטור מוביל,מדדי מניות,,
,,מדדי סחורות,,
,,מדינה/איזור גאוגרפי,,
,,ממונף,,
,,מניות,,
,,ענף מסחר,,
,,שווי שוק,,
,,תנודתיות,,
,,אחר,,
,פקטור נוסף,"אג""ח מובנות",,
,,אופנה והלבשה,,
,,אחסנה,,
,,אלקטרוניקה ואופטיקה,,
,,אנרגיה,,
,,אנרגיה מתחדשת,,
,,אשראי חוץ בנקאי,,
,,ביוטכנולוגיה,,
,,ביטוח,,
,,ביטחוניות,,
,,בנייה,,
,,בנקים,,
,,השקעות בהיי-טק,,
,,השקעות במדעי החיים,,
,,השקעה ואחזקות,,
,,חברות ללא פעילות ומעטפת,חברות מעטפת,נוסף במסגרת עדכון הרשימה
,,חיפושי נפט וגז,,
,,חשמל,,
,,"כימיה, גומי ופלסטיק",,
,,ליסינג,,
,,מוליכים למחצה,,
,,מזון,,
,,מכשור רפואי,,
,,מלונאות ותיירות,,
,,מסחר,,
,,מתכת ומוצרי בניה,,
,,"נדל""ן מניב בישראל",,
,,"נדל""ן מניב בחו""ל",,
,,"עץ, נייר ודפוס",,
,,פארמה,,
,,פודטק,,
,,ציוד תקשורת,,
,,קנאביס,,
,,קלינטק,,
,,קרנות היי טק,,
,,קרנות סל,,
,,רובוטיקה ותלת מימד,,
,,רשויות מקומיות,,
,,רשתות שיווק,,
,,שירותי מידע,,
,,שירותים,,
,,שירותים פיננסיים,,
,,שירותים ציבוריים,,
,,תוכנה ואינטרנט,,
,,תחבורה,,
,,תעופה,,
,,תעשיה,,
,,תקשורת ומדיה,,
,,תשתיות,,
,,ישראל,,
,,אוסטריה,,
,,אוסטרליה,,
,,אזור תעלת פנמה,,
,,אזרביג'אן,,
,,איחוד האמירויות הערביות,,
,,איטליה,,
,,איי הבתולה הבריטיים,,
,,איי הבתולה של ארצות הברית,,
,,איי סיישל,,
,,איי קיימן,,
,,איי שלמה הבריטיים,,
,,איסלנד,,
,,אירלנד,,
,,אנדורה,,
,,אסטוניה,,
,,ארגנטינה,,
,,"ארה""ב",,
,,אתיופיה,,
,,בהמס,,
,,בולגריה,,
,,בוליביה,,
,,בחריין,,
,,בלגיה,,
,,בליז,,
,,ברזיל,,
,,בריטניה,,
,,ברמודה,,
,,גאורגיה,,
,,גיברלטר,,
,,גמייקה,,
,,גרמניה,,
,,ג'רזי (Jersey),,נוסף במסגרת עדכון הרשימה
,,גרנזי (Guernsey),,נוסף במסגרת עדכון הרשימה
,,דרום קוריאה,,נוסף במסגרת עדכון הרשימה
,,הודו,,
,,הולנד,,
,,הונג קונג,,
,,הונגריה,,
,,הונדורס,,
,,טייוואן,,נוסף במסגרת עדכון הרשימה
,,יוון,,
,,יפן,,
,,ירדן,,
,,כווית,,
,,לוכסמבורג,,
,,לטביה,,
,,ליטא,,
,,ליכטנשטיין,,
,,מאוריציוס,,
,,מולדובה,,
,,מונקו,,
,,מלדיבים,,
,,מלטה,,
,,מלזיה,,
,,מצרים,,
,,מקסיקו,,
,,מרוקו,,
,,ניו זילנד,,
,,נורבגיה,,נוסף במסגרת עדכון הרשימה
,,סין,,
,,סינגפור,,
,,סלובניה,,
,,סלובקיה,,
,,ספרד,,
,,סרביה,,
,,ערב הסעודית,,
,,פולין,,
,,פורטוגל,,
,,פינלנד,,
,,פנמה,,
,,צילה,,
,,צכיה,,
,,צרפת,,
,,קנדה,,
,,קפריסין,,
,,רומניה,,
,,רוסיה,,
,,שוודיה,,
,,שוויץ,,
,,תורכיה,,
,,Emerging Markets,שווקים מתעוררים לפי הגדרת MSCI,
,,Developed Markets,לפי הגדרת MSCI,
,,Frontier Markets,לפי הגדרת MSCI,
,,"גלובלי בלי ארה""ב",,
,,גלובלי,,
,,אמריקה הצפונית,,
,,אמריקה הדרומית,,
,,אסיה,,
,,אירופה,,
,,אפריקה,,
,,אוקיאניה,,
,,מדדים,,
,,ריביות,,
,,"מט""ח/₪",,
,,"מט""ח/מט""ח",,
,,Mega cap,,
,,Large cap,,
,,Mid cap,,
,,Small cap,,
,,אחר,,
האם קיים קנס בגין יציאה מוקדמת,,כן,,
,,לא,,
מזומנים ושווי מזומנים,מאפיין עיקרי,"מזומן ועו""ש בש""ח",,
,,בטחונות שוטפים,,
,,"מזומן ועו""ש נקוב במט""ח",,
,,"פח""ק/פר""י",,
,,"פק""מ לתקופה של עד שלושה חודשים",,
,,"פקדון במט""ח עד שלושה חודשים",,
,,פקדון צמוד למדד המחירים לצרכן עד שלושה חודשים,,
,,"פקדון צמוד מט""ח עד שלושה חודשים (פצ""מ)",,
,,קופה קטנה,,
איגרות חוב ממשלתיות,מאפיין עיקרי,צמוד למדד המחירים לצרכן בריבית קבועה,,
,,צמוד למדד המחירים לצרכן בריבית משתנה,,
,,לא צמוד למדד המחירים לצרכן ריבית קבועה,,
,,לא צמוד למדד המחירים לצרכן ריבית משתנה,,
,,"צמוד מט""ח בריבית קבועה",,
,,"צמוד מט""ח בריבית משתנה",,
,,"מק""מ קצר משנים עשר חודשים",,
,,"נקוב במט""ח",,
ניירות ערך מסחריים,מאפיין עיקרי,צמוד למדד המחירים לצרכן בריבית קבועה,,
,,לא צמוד למדד המחירים לצרכן ריבית קבועה,,
,,"צמוד מט""ח בריבית קבועה",,
,,אחר,,
איגרות חוב,מאפיין עיקרי,לא צמוד למדד המחירים לצרכן,,
,,צמוד למדד המחירים לצרכן,,
,,"צמוד למט""ח",,
,,צמוד למדד אחר,,
,,"אג""ח להמרה לא צמוד למדד המחירים לצרכן",,
,,"אג""ח להמרה צמוד למדד המחירים לצרכן",,
,,"אג""ח להמרה צמוד למט""ח",,
,,"אג""ח להמרה צמוד למדד אחר",,
,,"אג""ח שנרכש ביון 04/11/2008 ועד 31/03/2015 ונמדד בעלות מופחתת","אג""ח שנרכש ביון 04/11/2008 ועד 31/03/2015 ונמדד בעלות מופחתת",נוסף במסגרת עדכון הרשימה
,,אחר,,
"מניות, מניות בכורה ויחידות השתתפות",מאפיין עיקרי,מניות,,
,,מניות בכורה,,
,,יחידות השתתפות,,
,,חברה בפירוק,,
,, In liquidation/administration,,
,,SPAC,Special Puropse Acquistion Company/Blank Check Company,
,,TASE UP,,
קרנות סל,מאפיין עיקרי,עוקב אחר מדדי מניות בישראל,,
,,"עוקב אחר מדדי מניות בחו""ל",,
,,עוקב אחר מדדים אחרים בישראל,,
,,"עוקב אחר מדדים אחרים בחו""ל",,
,,מכירה בחסר (שורט),,
,,אחר,,
קרנות נאמנות,מאפיין עיקרי,"אג""ח קונצרני",,
,,"אג""ח ממשלתי",,
,,מניות,,
,,אחר,,
אופציות,מאפיין עיקרי,מניה,,
,,מדד,,
,,"מט""ח",,
,,קרן סל,,
,,סחורה,,
מוצרים מובנים,מאפיין עיקרי,קרן מובטחת,,
,,קרן לא מובטחת,,
,,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,,
,,מוצר מאוגח - שכבת חוב (Tranche) בדרוג BBB- ומעלה,,
,,מוצר מאוגח - שכבת חוב (Tranche) בדרוג BB+ ומטה,,
,,מוצר מאוגח - שכבת הון (Equity Tranche),,
לא סחיר איגרות חוב ממשלתיות,מאפיין עיקרי,צמוד למדד המחירים לצרכן בריבית קבועה,,
,,צמוד למדד המחירים לצרכן בריבית משתנה,,
,,לא צמוד למדד המחירים לצרכן ריבית קבועה,,
,,לא צמוד למדד המחירים לצרכן ריבית משתנה,,
,,"צמוד מט""ח בריבית קבועה",,
,,"צמוד מט""ח בריבית משתנה",,
,,"מק""מ קצר משנים עשר חודשים",,
,,"נקוב במט""ח",,
לא סחיר איגרות חוב מיועדות,מאפיין עיקרי,חץ,,
,,מירון בקרן פנסיה ותיקה,,
,,ערד בקרן פנסיה ותיקה,,
,,ערד בקרן פנסיה מקיפה חדשה,,
,,"פיקדון חשכ""ל",,
,,אחר,,
אפיק השקעה מובטח תשואה,מאפיין עיקרי,החזקה באפיק השקעה מובטח תשואה,,
,,התאמה לשווי ההוגן,,
,,נכס או התחייבות בגין השלמת המדינה לתשואת היעד ,,
לא סחיר ניירות ערך מסחריים,מאפיין עיקרי,"נש""ר",,
,,צמוד למדד המחירים לצרכן,,
,,לא צמוד למדד המחירים לצרכן,,
,,"צמוד למט""ח",,
,,אחר,,
לא סחיר איגרות חוב,מאפיין עיקרי,לא צמוד למדד המחירים לצרכן,,
,,צמוד למדד המחירים לצרכן,,
,,"צמוד למט""ח",,
,,צמוד למדד אחר,,
,,"אג""ח להמרה לא צמוד למדד",,
,,"אג""ח להמרה לא צמוד למדד",,
,,"אג""ח להמרה צמוד למדד המחירים לצרכן",,
,,"אג""ח להמרה צמוד למט""ח",,
,,"אג""ח להמרה צמוד למדד אחר",,
,,"נש""ר",,
,,"אג""ח לא סחיר שנרכש בין 04/11/2008 ועד 31/03/2015 ונמדד לפי עלות מופחתת","אג""ח לא סחיר שנרכש בין 04/11/2008 ועד 31/03/2015 ונמדד לפי עלות מופחתת",נוסף במסגרת עדכון הרשימה
,,אחר,,
"לא סחיר מניות, מניות בכורה ויחידות השתתפות",מאפיין עיקרי,יחידות השתתפות אינשורטק,,
,,יחידות השתתפות פינטק,,
,,יחידות השתתפות תשתיות,,
,,יחידות השתתפות אחרות,,
,,מניות בכורה לא סחירות,,
,,מניות לא סחירות,,
,,"נש""ר",,
,,PIPE,Private Equity in Public Equity,
,,SPAC,Special Puropse Acquistion Company/Blank Check Company,
,,אחר,,
קרנות השקעה,מאפיין עיקרי,משאבים טבעיים,,
,,פרייבט אקוויטי,,
,,קרן אנרגיה ותשתיות,,
,,קרן גידור (Hedge Fund),,
,,קרן חוב,,
,,"קרן נדל""ן",,
,,קרן השקעה אחרת,,
,,סעיף מאזני,,נוסף במסגרת עדכון הרשימה
לא סחיר אופציות,מאפיין עיקרי,מניה,,
,,מדד,,
,,"מט""ח",,
,,קרן סל,,
,,סחורה,,
,,ריבית,,נוסף במסגרת עדכון הרשימה
הלוואות,מאפיין עיקרי,חברה מוחזקת,,
,,יחיד שאינו עמית/מבוטח,,
,,נושא משרה/עובד,,
,,סוכן,,
,,עמית/מבוטח,,
,,תאגיד,,
,,אחר,,
לא סחיר נגזרים אחרים,מאפיין עיקרי,Unfunded Swap,,נוסף במסגרת עדכון הרשימה - שם גיליון
,,Funded Swap,,
,,Unfunded Forward,,
,,Funded Forward,,
,,Unfunded Interest Rate Swap,,
,,Funded Interest Rate Swap,,
,,Unfunded Total Return/Equity Swap,,
,,Funded Total Return/Equity Swap,,
,,Repo,עסקאות REPO,נוסף במסגרת עדכון הרשימה
לא סחיר מוצרים מובנים,מאפיין עיקרי,קרן מובטחת,,
,,קרן לא מובטחת,,
,,שכבת חוב (Tranche) בדרוג AA- ומעלה,,
,,שכבת חוב (Tranche) בדרוג BBB- ומעלה,,
,,שכבת חוב (Tranche) בדרוג BB+ ומטה,,
,,שכבת הון (Equity Tranch),,
פיקדונות מעל 3 חודשים,מאפיין עיקרי,צמוד למדד המחירים לצרכן,,
,,לא צמוד למדד המחירים לצרכן,,
,,"נקוב במט""ח",,
,,"צמוד למט""ח",,
,,בטחונות לא שוטפים,בטחונות לתקופה של מעל 3 חודשים,
,,אחר,,
זכויות מקרקעין,מאפיין עיקרי,"נדל""ן מניב",,נוסף במסגרת עדכון הרשימה - שם גיליון
,,"נדל""ן לא מניב",,
נכסים אחרים,מאפיין עיקרי,התחייבות הממשלה בגין אי העלאת גיל הפרישה לנשים,,
,,סיוע ממשלתי,,
,,דיבידנד לקבל,,
,,"הכנסות עו""ש לקבל",,נוסף במסגרת עדכון הרשימה
,,הפרשה למס,,
,,התחייבות Forward,,
,,"זכאים בגין נדל""ן",,נוסף במסגרת עדכון הרשימה
,,חוב בפיגור,,
,,חייבים בגין מקדמות,,
,,חייבים בגין עסקה עתידית ,,
,,חייבים בגין תקבולים ,,
,,חייבים בנאמנות ,,
,,חייבים והכנסות שכר דירה לקבל,,
,,חייבים הלוואות,,
,,חייבים העברות,,
,,חייבים וזכאים,,
,,חייבים וזכאים בגין שיקוף,,
,,חייבים וזכאים מס,,
,,חייבים וזכאים עמיתים,,
,,"חייבים זכאים במט""ח",,
,,"חייבים זכאים בש""ח",,
,,חייבים/זכאים עמלת up front,,
,,חלוקה בפועל מקרן השקעה,,
,,יצירות אומנות,,
,,מס במקור,,
,,מעבר הפרשים,,
,,מעבר מיזוגים,,
,,מעבר נכסים,,
,,מעבר פקדונות,,
,,מקדמות מס,,
,,עודפים,,
,,פיגורים,,נוסף במסגרת עדכון הרשימה
,,קיקר,,
,,אחר,,
השקעה בחברות מוחזקות,מאפיין עיקרי,חברת בת,,נוסף במסגרת עדכון הרשימה - שם גיליון
,,חברה כלולה,,
,,אחר,,
יתרות התחייבות להשקעה,מאפיין עיקרי,התחייבות להשקעה,,
,,התחייבות להשקעה - צמיתה,כאשר מועד המחויבות להשקעה הוא ללא תאריך ספציפי.,
,,התחייבות להשקעה - קרן בפירוק,כאשר המחויבות להשקעה מסתיימת במועד פירוק הקרן.,
,,התחייבות להשקעה - קרן בהנזלה,כאשר הקרן נמצאת בשלבי הנזלה (liquidation).,
סיום מידע טבלה,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,ח.פ.,,
,,מספר מנפיק,,
,,מספר שותפות,,
,,LEI,,
,,,,
,,ח.פ.,,
,,מספר מנפיק,,
,,מספר שותפות,,
,,LEI,,
,,"מספר תאגיד או שותפות בחו""ל",,
,,,,
,,ח.פ.,,
,,מספר מנפיק,,
,,LEI,,
,,,,
,,חברת ציטוט,,
,,אחר,,
,,,,
,,אנרגיה,,
,,"אשראי בגין נדל""ן יזמי",,
,,אשראי קמעונאי,,
,,מדד המחירים לצרכן,,
,,מדדי סחורות,,
,,"מט""ח",,
,,מניות לרבות מדדי מניות,,
,,משכנתאות או תיקי משכנתאות,,
,,מתכות,,
,,"ריבית ואג""ח",,
,,תשתיות,,
,,אחר,,
,,,,
,,,,
,,גורם תלוי/פנימי,,
,,דיווח מנהל הקרן,,
,,מומחה בלתי תלוי,,
,,אחר,,
,,,,
,,ISIN,,
,,OCC,,
,,פנימי,,
,,אחר,,
,,,,
,,סחיר,,
,,מושעה,,
,,,,
,,סחיר,,
,,חסום,,
,,השעיה,,
,,בהשאלה,,
,,בשלבי רישום למסחר,,
,,אחר,,
,,,,
,,,,
,,"אג""ח מובנות",,
,,אופנה והלבשה,,
,,אלקטרוניקה ואופטיקה,,
,,אנרגיה,,
,,אנרגיה מתחדשת,,
,,אשראי חוץ בנקאי,,
,,ביוטכנולוגיה,,
,,ביטוח,,
,,ביטחוניות,,
,,בנייה,,
,,בנקים,,
,,השקעות בהיי-טק,,
,,השקעות במדעי החיים,,
,,השקעה ואחזקות,,
,,חברות ללא פעילות ומעטפת,,
,,חיפושי נפט וגז,,
,,חשמל,,
,,"כימיה, גומי ופלסטיק",,
,,מוליכים למחצה,,
,,מזון,,
,,מכשור רפואי,,
,,מלונאות ותיירות,,
,,מסחר,,
